"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 28 00:23:09 GMT 2021","Mon Jun 28 00:25:33 GMT 2021","143428","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Mon Jun 28 00:18:22 GMT 2021","Mon Jun 28 00:18:22 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"broken","Mon Jun 28 00:05:37 GMT 2021","Mon Jun 28 00:08:06 GMT 2021","149116","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Mon Jun 28 00:20:46 GMT 2021","Mon Jun 28 00:23:09 GMT 2021","143860","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Mon Jun 28 00:18:22 GMT 2021","Mon Jun 28 00:20:46 GMT 2021","143604","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:40"
"broken","Mon Jun 28 00:18:22 GMT 2021","Mon Jun 28 00:18:22 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Mon Jun 28 00:18:22 GMT 2021","Mon Jun 28 00:18:22 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Mon Jun 28 00:15:17 GMT 2021","Mon Jun 28 00:17:41 GMT 2021","143676","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Mon Jun 28 00:08:06 GMT 2021","Mon Jun 28 00:10:30 GMT 2021","143599","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Mon Jun 28 00:10:30 GMT 2021","Mon Jun 28 00:12:53 GMT 2021","143668","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"broken","Mon Jun 28 00:25:33 GMT 2021","Mon Jun 28 00:27:56 GMT 2021","143528","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:41"
"broken","Mon Jun 28 00:27:56 GMT 2021","Mon Jun 28 00:30:20 GMT 2021","143519","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"broken","Mon Jun 28 00:30:20 GMT 2021","Mon Jun 28 00:32:44 GMT 2021","143679","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"broken","Mon Jun 28 00:12:53 GMT 2021","Mon Jun 28 00:15:17 GMT 2021","143673","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"skipped","Mon Jun 28 00:17:41 GMT 2021","Mon Jun 28 00:17:41 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Mon Jun 28 00:18:22 GMT 2021","Mon Jun 28 00:18:22 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
